contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
False,26,44,1.6923,1.6923,10,88,3,3,26,10
False,18,24,1.3333,1.3333,9,48,2,2,18,9
False,28,45,1.6071,1.6071,10,90,3,2,19,8
False,29,57,1.9655,1.9655,12,114,3,3,28,15
False,0,0,0.0,0.0,0,0,0,0,0,0
False,20,30,1.5,1.5,10,60,3,2,8,6
False,27,44,1.6296,1.6296,11,88,3,2,23,9
False,22,36,1.6364,1.6364,9,72,3,2,19,8
False,7,10,1.4286,1.4286,4,20,2,3,7,4
False,20,31,1.55,1.55,9,62,3,2,16,8
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,28,52,1.8571,1.8571,19,104,3,3,29,20
False,13,18,1.3846,1.3846,7,36,2,2,12,7
False,7,7,1.0,1.0,4,14,2,2,19,11
False,23,36,1.5652,1.5652,12,72,3,2,9,7
False,21,32,1.5238,1.5238,9,64,3,2,26,13
False,0,0,0.0,0.0,0,0,0,0,0,0
False,11,16,1.4545,1.4545,9,32,2,2,6,5
False,9,11,1.2222,1.2222,6,22,2,2,0,0
False,8,11,1.375,1.375,6,22,2,2,8,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,23,34,1.4783,1.4783,10,68,2,2,12,7
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,23,35,1.5217,1.5217,9,70,3,2,9,4
False,0,0,0.0,0.0,0,0,0,0,7,4
False,20,32,1.6,1.6,9,64,3,3,20,9
False,19,28,1.4737,1.4737,10,56,2,2,21,12
False,0,0,0.0,0.0,0,0,0,0,0,0
False,6,7,1.1667,1.1667,5,14,2,2,6,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,39,15
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,7,7,1.0,1.0,4,14,2,2,7,4
False,0,0,0.0,0.0,0,0,0,0,0,0
False,26,45,1.7308,1.7308,15,90,3,2,24,12
False,0,0,0.0,0.0,0,0,0,0,0,0
False,10,13,1.3,1.3,7,26,2,2,10,7
False,3,3,1.0,1.0,4,6,2,1,0,0
False,0,0,0.0,0.0,0,0,0,0,9,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,19,26,1.3684,1.3684,9,52,2,2,16,8
False,20,25,1.25,1.25,7,50,2,2,9,5
False,0,0,0.0,0.0,0,0,0,0,0,0
False,7,10,1.4286,1.4286,4,20,2,3,7,4
False,0,0,0.0,0.0,0,0,0,0,0,0
False,22,33,1.5,1.5,12,66,3,2,0,0
False,3,3,1.0,1.0,4,6,2,1,0,0
False,24,38,1.5833,1.5833,9,76,3,2,21,8
False,7,7,1.0,1.0,4,14,2,2,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,9,11,1.2222,1.2222,6,22,2,2,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,12,17,1.4167,1.4167,7,34,2,2,12,7
False,8,8,1.0,1.0,4,16,2,2,8,4
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,6,8,1.3333,1.3333,5,16,2,2,9,5
False,37,73,1.973,1.973,16,146,3,3,27,9
False,0,0,0.0,0.0,0,0,0,0,9,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,10,10,1.0,1.0,5,20,2,2,0,0
False,8,11,1.375,1.375,6,22,2,2,8,6
